Ria,Coast,RiaCoast,LocNumRiaCoast,LocNumCumulative,LocName,Latitude,Longitude,DistanceRiver_Absolute,DistanceRiver_Normalized,Rock_Type,Wave_Mean,Ascophyllum_Coverage,Ascophyllum_Presence,Barnacles_Coverage,Barnacles_Presence,Corallina_Presence,FabalisObtusata_Presence,Fucus_Coverage,Fucus_Presence,Gibbula_Presence,Lichina_Coverage,Lichina_Presence,Littorea_Presence,Melarhaphe_Presence,Mytilus_Coverage,Mytilus_Presence,Nucella_Presence,Pelvetia_Coverage,Pelvetia_Presence,Phorcus_Presence,SaxatilisDensity1,SaxatilisDensity2,SaxatilisDensity3,SaxatilisDensity_Mean,SaxatilisDensity_SD,n,Albida_Counts,Fulva_Counts,Lutea_Counts,Aurantia_Counts,Fusca_Counts,Nigra_Counts,Lineata_Counts,Bande_Counts,Tessellata_Counts,ColorMorphNA_Counts,Sheltered_Counts,Rest_Counts,Minority_Counts,Fulva_Frequency,Lutea_Frequency,Fusca_Frequency,Lineata_Frequency,Sheltered_Frequency,Rest_Frequency,Minority_Frequency,Rudis_Counts,Rudissima_Counts,Jugosa_Counts,Jugosa_Frequency,ShellSculptureNA_Counts,ScarsAbsent_Counts,ScarsPresent_Counts,ScarsPresent_Frequency,ScarsNA_Counts,ShellLength_Mean,ShellLength_SD,ShellThickness_Mean,ShellThickness_SD,ShellThickness_Rel_Mean,ShellThickness_Rel_SD,CS_Mean,CS_SD,RW1_Mean,RW1_SD,RW2_Mean,RW2_SD,RW3_Mean,RW3_SD,EcolPC1,EcolPC2,Cluster
Arousa,South,ArousaSouth,9,43,SanVicenteDoMar,42.4514,-8.924725,101936,0.98,CalcAlkalineGranitoids,2.75,0,0,3,1,1,0,0,0,1,3,1,1,1,0,0,1,0,0,1,21,17,10,16,5.57,52,0,6,15,7,0,0,24,0,0,0,21,22,7,0.115,0.288,0,0.462,0.404,0.423,0.135,14,27,11,0.212,0,37,15,0.288461538,0,6.542307692,0.977059645,0.45775,0.076021636,0.084695362,0.062299131,0.897941798,0.124991598,0.011987048,0.048717886,0.010659196,0.034331115,0.017235529,0.022005422,1.78588029,-0.412205829,WaveExposed
MurosNoia,North,MurosNoiaNorth,1,44,Bronha,42.801908,-8.930581,8315,0.18,CalcAlkalineGranitoids,0.75,5,1,3,1,0,1,5,1,0,1,1,1,0,4,1,0,5,1,0,12,14,30,18.7,9.87,62,0,31,25,0,6,0,0,0,0,0,62,31,0,0.5,0.403,0.097,0,1,0.5,0,45,16,1,0.016,0,48,14,0.225806452,0,9.125806452,1.474475231,0.442274194,0.09696918,-0.024436611,0.061870401,1.126737685,0.179202136,-0.042367038,0.035458358,-0.02185189,0.029884521,-0.038978845,0.026498011,-4.704778338,0.078736028,WaveSheltered
MurosNoia,North,MurosNoiaNorth,2,45,Lagoa,42.792831,-8.945153,11973,0.26,AlkalineGranitoids,1.25,5,1,1,0,0,1,5,1,1,0,0,1,0,4,1,1,5,1,1,2,4,3,3,1,57,2,35,15,0,5,0,0,0,0,0,55,22,2,0.614,0.263,0.088,0,0.965,0.386,0.035,41,16,0,0,0,33,24,0.421052632,0,9.901754386,1.580968422,0.517298246,0.125317307,0.022458026,0.090825492,1.230772955,0.190086318,-0.028128714,0.040617832,-0.014731427,0.034104258,-0.040414169,0.027004468,-3.425214812,0.645218603,WaveSheltered
MurosNoia,North,MurosNoiaNorth,3,46,Esteiro,42.787333,-8.966569,15908,0.34,AlkalineGranitoids,2.25,0,0,1,0,1,1,4,1,1,0,0,1,1,4,1,1,0,0,1,42,29,24,31.7,9.29,60,0,4,6,2,22,0,26,0,0,0,32,30,2,0.067,0.1,0.367,0.433,0.533,0.5,0.033,9,29,22,0.367,0,54,6,0.1,0,9.143333333,1.104285438,0.510816667,0.116237555,0.043470483,0.09532009,1.20009008,0.143390331,-0.014432773,0.048328541,-0.016290774,0.031035274,-0.007400249,0.023480536,-0.336742139,0.744192283,WaveIntermediate
MurosNoia,North,MurosNoiaNorth,4,47,Raimundez,42.781186,-8.996733,21960,0.47,Schists,2.75,0,0,5,1,0,0,5,1,1,1,1,1,1,0,0,1,0,0,1,36,52,17,35,17.52,64,1,11,16,3,0,0,33,0,0,0,27,20,4,0.172,0.25,0,0.516,0.422,0.313,0.063,9,26,29,0.453,0,57,7,0.109375,0,7.14375,1.205921238,0.3990625,0.080230595,0.004204569,0.066855909,0.95846867,0.150533469,0.021646276,0.053176637,0.000965334,0.029504222,-0.000601449,0.022536301,0.436442254,0.659731854,WaveIntermediate
MurosNoia,North,MurosNoiaNorth,5,48,Bouga,42.75985,-9.061906,41021,0.88,AlkalineGranitoids,3.25,0,0,5,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,10,12,14,12,2,52,2,0,0,0,0,0,43,0,7,0,0,9,9,0,0,0,0.827,0,0.173,0.173,8,25,19,0.365,0,50,2,0.038461538,0,5.146153846,0.90780095,0.224903846,0.062508748,-0.097537871,0.060631374,0.736250324,0.112894317,0.024745914,0.058114063,-0.012387652,0.02612013,0.038643386,0.028842461,2.109601442,0.007899826,WaveExposed
MurosNoia,North,MurosNoiaNorth,6,49,Queixal,42.746006,-9.076656,43773,0.94,AlkalineGranitoids,3.25,0,0,5,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,40,49,92,60.3,27.79,47,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,1,0,0,0,19,20,8,0.17,0,47,0,0,0,6.55106383,0.644330573,0.388978723,0.067506679,0.015606661,0.068421638,0.917843946,0.086334863,0.031244422,0.043206874,-0.014906015,0.019654758,0.02719942,0.019435005,2.263041306,-0.116872828,WaveExposed
MurosNoia,South,MurosNoiaSouth,1,50,Testal,42.790456,-8.917828,10859,0.19,CalcAlkalineGranitoids,0.75,5,1,3,1,0,0,5,1,0,0,0,1,0,5,1,0,5,1,0,75,39,7,40.3,34.02,58,0,41,8,0,9,0,0,0,0,0,58,17,0,0.707,0.138,0.155,0,1,0.293,0,38,20,0,0,0,39,19,0.327586207,0,7.494736842,1.283886545,0.382137931,0.089933201,-0.024090565,0.061276617,0.955919596,0.160001416,-0.039771057,0.037642612,0.023561768,0.032065621,-0.016666965,0.027176393,-4.312529795,0.408391832,WaveSheltered
MurosNoia,South,MurosNoiaSouth,2,51,Hornanda,42.766433,-8.941461,15131,0.26,Gneisses,1.25,0,0,5,1,1,0,5,1,0,0,0,1,1,4,1,1,5,1,0,113,48,86,82.3,32.65,60,3,25,1,2,8,0,20,0,1,0,34,15,6,0.417,0.017,0.133,0.333,0.567,0.25,0.1,11,35,14,0.233,0,55,3,0.051724138,2,6.583333333,0.86400068,0.244833333,0.048760281,-0.129708553,0.045614213,0.870064637,0.104059417,0.000707177,0.045178347,0.013580451,0.027890655,0.001572818,0.030214192,-1.460779623,2.164344365,WaveIntermediate
MurosNoia,South,MurosNoiaSouth,3,52,Langanho,42.745342,-8.960806,20589,0.36,AlkalineGranitoids,1.75,0,0,5,1,0,0,0,0,0,0,0,1,1,3,1,1,0,0,1,13,18,42,24.3,15.5,60,3,19,5,0,0,0,33,0,0,0,24,8,3,0.317,0.083,0,0.55,0.4,0.133,0.05,30,22,8,0.133,0,53,7,0.116666667,0,7.878333333,1.516026437,0.4289,0.078300529,0.00741219,0.059001633,1.054449989,0.180165754,-0.001371314,0.042266476,-0.015789604,0.027662682,0.016417219,0.024621981,0.309291542,1.822328706,WaveExposed
MurosNoia,South,MurosNoiaSouth,4,53,Baronha,42.695061,-9.031647,33813,0.59,AlkalineGranitoids,4.75,0,0,5,1,1,0,0,0,1,2,1,0,1,0,0,1,0,0,1,33,35,43,37,5.29,40,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,8,8,24,0.6,0,37,3,0.075,0,6.03,0.768348212,0.3728,0.077689454,0.018317376,0.065703349,0.838157369,0.097748129,0.016692755,0.051861419,0.015135478,0.029251544,0.038382646,0.019859043,2.453351515,-0.536772624,WaveExposed
MurosNoia,South,MurosNoiaSouth,5,54,Sieira,42.656036,-9.041625,40623,0.7,Schists,3.25,0,0,5,1,1,0,0,0,1,2,1,0,1,0,0,0,0,0,1,13,16,2,10.3,7.37,41,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,1,0,0,0,8,18,15,0.366,0,38,3,0.073170732,0,6.158536585,0.863705856,0.336487805,0.070932053,-0.022654486,0.06297032,0.861025752,0.116342896,-0.005684893,0.049571147,0.009689137,0.029800935,0.048239941,0.022050078,2.05237387,-1.616328772,WaveExposed
MurosNoia,South,MurosNoiaSouth,6,55,Corrubedo,42.577489,-9.090133,54998,0.95,AlkalineGranitoids,5.25,0,0,5,1,1,0,0,0,1,4,1,0,1,2,1,1,0,0,1,18,18,19,18.3,0.58,41,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13,27,0.659,0,33,8,0.195121951,0,7.480487805,1.079634084,0.503243902,0.069373187,0.096178661,0.065719803,1.017598874,0.136831843,0.00895588,0.055662726,-0.01409748,0.025136655,0.025008457,0.027649231,2.686490555,-0.196063648,WaveExposed
